ID,Date,Time,Location,Operator,Flight,Route,Type,Registration,CN_IN,Aboard,Fatalities,Ground,Survivors,SurvivalRate,Summary,ClustID
251,8/12/1985,18:56,"MT. OSUTAKA, NEAR UENO VILLAGE, JAPAN",JAPAN AIR LINES,123,TOKYO - OSAKA,BOEING B-747-SR46,JA8119,20783/230,524,520,0,4,0.008,"The aircraft suffered an aft pressure bulkhead failure at 23,900 ft. The aircraft had severe control difficulties with loss of all controls and eventually after 40 minutes, collided with a mountain. Improper repair of the  bulkhead while being supervised by Boeing engineers after a tail strike in 1978. Worst single plane disaster in aviation history. Kyu Sakamoto, 43, famous for his Japanese song 'Sukiyaki' was killed in the accident.",High Fatality
252,8/22/1985,6:13,"MANCHESTER, ENGLAND",BRITISH AIRTOURS,28M,MANCHESTER - KERKIRA,BOEING B-737-236,G-BGJL,22033/743,137,55,0,82,0.599,"During takeoff from Manchester, failure of the No. 9 combustor on the port engine resulted in its ejection from the engine and fracturing of the fuel tank access panel and resulting fire. The fire spread into the cabin incapacitating and killing passengers due to toxismoke. Thermal metal fatigue of the combustor. Slow braking, using reverse thrust and turning the aircraft to starboard, sideways to a prevailing wind, all helped to feed the flames. The aircraft was named 'River Orrin.'",High Fatality
253,11/24/1985,20:15,"LUQA, MALTA",EGYPTAIR,648,ATHENS - CAIRO,BOEING B-737-266,SU-AYH,21191/450,103,60,0,43,0.417,"Hijacking. While on the ground at Malta to refuel the aircraft was stormed by Egyptian forces. During the fight, several hand grenades were thrown into the cabin causing a fire.",High Fatality
254,12/12/1985,6:45,"GANDER, NEWFOUNDLAND, CANADA",ARROW AIRWAYS,MF1285R,"GANDER - FORT CAMPBELL, KY",MCDONNELL DOUGLAS DC-8 SUPER 63PF,N950JW,46058/433,256,256,0,0,0,"The aircraft stalled and crashed during takeoff. Two-hundred-forty-four members of the 101st Airborne Division from Fort Campbell, Kentucky  were killed in the accident. There is controversy surrounding this crash. The majority opinion of the board was that the cause of the sequence leading up to the stall and crash could not be determined, with icing a possibility. The minority opinion was that the crash was possibly caused by detonation of an explosive device of unknown origin in a cargo compartment which led to an in-flight fire and loss of control of the aircraft.",High Fatality
255,1/18/1986,8:00,"NEAR PETEN, GUATEMALA",AEROVIAS DE GUATEMALA SA,Not Available,GUATEMALA CITY - FLORES,SUD-AVIATION  CARAVELLE VI-N,HC-BAE,40,87,87,0,0,0,"After initiating an overshoot and attempting to land for a second time, the plane crashed into a hilly area in the jungle. There were low lying clouds in the area.",High Fatality
256,3/31/1986,9:11,"MARAVATIO, MEXICO",MEXICANA,940,MEXICO CITY - PUERTO VALLARTA,BOEING B-727-264,XA-MEM,22414/1748,167,167,0,0,0,"While climbing through 29,000 feet, an overheated tire exploded in the wheel well after takeoff and damaged the hydrauliand electrical systems of the aircraft. The plane lost control and crashed. The tire had been serviced with air rather than nitrogen. The air, under high temperature and pressure, resulted in a chemical reaction within the tire itself which led to a explosion of the tire.",High Fatality
257,4/2/1986,Not Available,"NEAR ATHENS, GREECE",TRANS WORLD AIRLINES,840,ROME - ATHENS,BOEING B-727,N54340,20845/1066,121,4,0,117,0.967,Detonation of a explosive device in the passenger compartment causing four passengers to be sucked out.  The plane landed safely at Athens. The plastiexplosive was left under a seat by a woman carrying a Lebanese passport.,Low Fatality
258,5/3/1986,Not Available,"COLOMBO, SRI LANKA",AIR LANKA,Not Available,"COLOMBO - MALE, MALDIVES",LOCKHEED L-1011-100,4R-ULD,1061,150,22,0,128,0.853,Detonation of an explosive device in the rear section of the cabin while on the ground and passengers were boarding. The aircraft was named City of Colombo.,Low Fatality
259,7/2/1986,10:27,"NEAR SYKTYVAR, RUSSIA",AEROFLOT,Not Available,NOT AVAILABLE,TUPOLEV TU-134A,CCCP-65120,60482,94,54,0,40,0.426,The aircraft crashed in a forest after an in-flight fire caused by baggage that ignited in the rear cargo hold led to loss of contol of the aircraft.,High Fatality
260,9/5/1986,6:00,"KARACHI, PAKISTAN",PAN AMERICAN WORLD AIRWAYS,73,BOMBAY-KARACHI-FRANKFURT-NEW YORK,BOEING B-747-121,N656PA,20351/127,384,16,1,368,0.958,"While on the ground, four hijackers opened fire on the passengers and crew and threw grenades among them, killing 16 passengers, one crew member and one ground crew memeber. The aircraft was named Clipper Empress of the Seas.",Low Fatality
261,10/20/1986,15:50,"KUYBYSHEV, RUSSIA",AEROFLOT,Not Available,YEKATERINBURG - KUYBYSHEV,TUPOLEV TU-134A,CCCP-65766,62327,92,70,0,22,0.239,The plane crashed and burst into flames after a straight-in hard landing without leveling off.,High Fatality
262,11/2/1986,19:25,"NEAR ZAHEDAN, IRAN",MILITARY - IRANIAN AIR FORCE,Not Available,BAKHTARAN - ZAHEDAN,LOCKHEED C-130,Not Available,Not Available,103,103,0,0,0,Struck the side of a mountain near the Pakistani border. Crew error. Descent below minimum safe altitude with a defective altimeter and in spite of warnings from the ATC.,High Fatality
263,12/12/1986,Not Available,"BERLIN, EAST GERMANY",AEROFLOT,Not Available,MINSK - BERLIN,TUPOLEV TU-134A,CCCP-65795,63145,82,70,0,12,0.146,The aircraft crashed after landing on the wrong runway in fog. The crew did not understand the English instructions that the right runway was closed for repairs.,High Fatality
264,12/25/1986,Not Available,"AY, SAUDI ARABIA",IRAQI AIRWAYS,Not Available,BAGHDAD - AMMAN,BOEING B-737-270C,YI-AGJ,21183,106,63,0,43,0.406,"Hijacking.  While on a flight from Baghdad to Amman, hijackers exploded a hand grenade in the passenger cabin. While making an emergency descent a second hand grenade exploded in the cockpit causing the plane to lose control crash, break in two and catch fire.",High Fatality
265,5/9/1987,11:12,"WARSAW, POLAND",LOT POLISH AIRLINES,5055,WARSAW - NEW YORK CITY,ILYUSHIN IL-62M,SP-LBG,3344942,183,183,0,0,0,"The No. 2 engine failed, causing an engine fire, cabin decompression, damage to the  No. 1 engine, loss of  elevator control and damage to the electrical system. A fire in the cargo hold was not detected because of damage to the fire warning system. While attempting to return to Warsaw and attempting a turn to land, the aircraft crashed into a forest, 9 miles short of the runway. The cause of the engine failure was an overheated bearing. The aircraft was named Tadeusz Kosciuszko.",High Fatality
266,7/24/1987,Not Available,"GENEVA, SWITZERLAND",AIR AFRIQUE,56,BRAZZAVILLE - PARIS,MCDONNELL DOUGLAS DC-10-30,Not Available,Not Available,163,1,0,162,0.994,"Hijacked while en route from Rome, Italy to Paris, France. The hijacker killed one male passenger when the plane landed at Cointrin Airport in Switzerland to refuel, after which the plane was stormed by security personnel.",Low Fatality
267,1/18/1988,22:17,"NEAR CHUNGKING, SICHUAN, CHINA",CHINA SOUTHWEST AIRLINES,4146,BEIJING - CHONGQING,ILYUSHIN IL-18D,B-222,187009901,108,108,0,0,0,The aircraft crashed 10 minutes before its scheduled landing. Fire in and failure of the No. 4 engine led to separation of the pylon and engine and loss of control of the aircraft. Overheating of the feathering oil. Poor maintenance procedures.,High Fatality
268,8/16/1987,20:46,"ROMULUS, MICHIGAN",NORTHWEST AIRLINES,255,"DETROIT, MI - PHOENIX, AZ",MCDONNELL DOUGLAS MD-82,N312RC,48090/1040,155,154,2,1,0.006,"The aircraft stalled and crashed during takeoff from Detroit Metropolitan Wayne County Airport. After liftoff, the wings of the airplane rolled to the left and right  and then the aircraft collided with obsticales northeast of the runway when the left wing struck light poles and the roof of a rental car agency. A 4-year-old girl, Cecilia Cichan, was the only survivor. Slats and flaps not extended. Crew's failure to use taxi checklist to ensure flaps and slats were extended. Lack of electrical power to the aircraft takeoff warning system. Cecelia is now married and earned a Psychology degree from the University of Alabama. Although she has made no publistatements or attended annual memorial services regarding the tragicrash, she corresponds with some of the crash victimsâ€™ loved ones.",High Fatality
269,8/31/1987,15:36,"OFF KO PHUKET, THILAND",THAI AIRWAYS,365,HAT YAI - PHUKET,BOEING B-737-2P5,HS-TBC,22267/685,83,83,0,0,0,The aircraft stalled and crashed into the ocean after the crew's attention was diverted to concern over another aircraft. Failure of the crew to monitor their airspeed. The pilot added power and raised the gear after the stick shaker activated but did not execute a recovery before hitting the sea.,High Fatality
270,11/28/1987,4:00,"OFF MAURITIUS, INDIAN OCEAN",SOUTH AFRICAN AIRWAYS,295,"TAIPEI, TAIWAN -  MAURITIUS - JOHANNESBURG, SOUTH AFRICA",BOEING B-747-244B,ZS-SAS,22171/488,159,159,0,0,0,"While over the Indian Ocean the crew contacted Mauritius approach control and reporting fire and smoke aboard. Three minutes after the last transmission the plane the plunged into the ocean 150 miles northeast of Mauritius. The fire caused incapacitation and disorientation of the crew, in-flight break-up and loss of control of the aircraft.  The fire originated in a front pallet on the right side in the upper deck cargo hold. The fire of unknown origin possibly (1) incapacitated the crew; (2) caused disorientation of the crew due to thick smoke; (3) caused crew distraction; (4) weakened the aircraft structure, causing an in-flight break-up; (5) burned through control cables or ; (6) caused loss of control due to deformation of the aircraft fuselage.",High Fatality
271,11/29/1987,11:30,OVER THE ANDAMAN SEA,KOREAN AIRLINES,858,ABU DHABI - BANGKOK,BOEING B-707-3B5C,HL-7406,20522/855,115,115,0,0,0,"The plane crashed while on a flight from Abu Dhabi to Bangkok. Detonation of an explosive device in the passenger cabin left by two passengers who exited  the plane at Abu Dhabi. A 75 year old man and Korean woman were arrested as they tried to use fake passports to fly to Rome. While under guard, the man bit into a cyanide capsule and died. The woman, a North Korean agent, confessed to the crime.",High Fatality
272,1/18/1988,4:20,"KROSNOVODSK, USSR",AEROFLOT,Not Available,MOSCOW - KROSNOVODSK,TUPOLEV TU 154B-2,CCCP-85254,77A254,143,11,0,132,0.923,Broke in two after a heavy landing. Crew error. Co-pilot was flying the plane against requirements that the pilot fly the plane.,Low Fatality
273,3/17/1988,13:17,"NEAR CUCUTA, N OF  SANTANDER, COLOMBIA",AVIANCA,410,CUCUTA - CARTAGENA,BOEING B-727-21,HK-1716,18999/240,143,143,0,0,0,"The aircraft struck a mountain at 6,200 feet after taking off in mist and haze. The crew took off under VFR conditions during adverse weather conditions. Inappropriate presence of a non-crew pilot in the cockpit and his great talkativeness distracting part of the crew which resulted in carelessness and disorientation in monitoring the heading and altitude necessary to maneuver the plane. VFR flight into IFR conditions.",High Fatality
274,4/5/1988,Not Available,"COMBI, CYPRUS",KUWAIT AIRWAYS,Not Available,BANGKOK - KUWAIT,BOEING B-747-200,9K-ADA,21541,112,2,0,110,0.982,Hijacking. Two hostages killed on the ground.,Low Fatality
275,4/28/1988,13:46,"MAUI, HAWAII",ALOHA AIRLINES,243,HILO - HONOLULU,BOEING B-737-297,N73711,20209,95,1,0,94,0.989,The aircraft suffered separation of the top of the fuselage resulting in explosive decompression and severe structural damage. A flight attendant was sucked out of the opening in the fuselage and her body never recovered. The plane made a safe emergency landing at Kahuiui Airport on Maui. Failure of Aloha Airline's maintenance program to detect the presence of disbonding and fatigue damage which led to failure of the lap joint at S-10L and the separation of the fuselage upper lobe. Contributing factors were the failure of Aloha Airline's management to properly supervise its maintenance crew as well as the failure of the FAA to properly evaluate the Aloha Airlines maintenance program and to assess the airline's inspection and quality control deficiencies. In addition the maintenance program underestimated the need for inspections with the large number of pressurizations/depressurizations and humid salt air climate the plane was subjected to.,Low Fatality
276,6/26/1988,14:45,"HABSHEIM, FRANCE",AIR FRANCE,296Q,BASEL - BASEL,AIRBUS A320-111,F-GFKC,9,136,3,0,133,0.978,"The plane was scheduled to perform a series of fly-bys at an air show. The plane was to descend to 100 ft. altitude with landing gear and flaps extended. The automatigo-around protection (Alpha Floor Function) was inhibited for the maneuver. During the maneuver, the plane descended thru 100 ft. to an altitude of 30 feet and hit trees at the end of the runway. The aircraft was totally destroyed by the successive impacts and violent fire which followed. The pilot allowed the aircraft to descend through 100 ft. at slow speed and maximum angle of attack and was late in applying go-around power. Unfamiliarity of the crew with the landing field and lack of planning for the flyby.",Low Fatality
277,7/3/1988,10:55,"OVER THE PERSIAN GULF, NEAR BANDAR ABBAS, IRAN",IRAN AIR,655,BANDAR ABBAS - DUBAI,AIRBUS A300B2-203,EP-IBU,186,290,290,0,0,0,"The civilian Iranian airliner was shot down by the U.S. Navy vessel U.S.S. Vincennes with surface-to-air missiles. The Vincennes was protecting other civilian ships in the area from Iranian gunboats. The Vincennes responded to hostile action taking place against a ship by Iranian gun boats. However, orders to the captain were to send a helicopter to investigate but maintain position. In fact, the ship headed towards the hostilities and penetrated 2nm inside Iranian territorial waters and after the helicopter was fired upon, engaged the enemy boats. The ill-fated airliner was delayed in leaving Bandar Abbas because of a problem with the passport of a passenger. Soon after taking off the target appeared on the radar of the Vincennes. Because the plane was late and confusion of time zones, the crew was not expecting an airliner in the area. When the target was first identified, it squawked both 2 (military) and 3 (civilian). The reason for this was the radar tracker ball was left in the vicinity of the Bandar Abbas airport and the radar was picking up both the airliner and a military F-14 jet fighter at the same time. Playing it safe, the plane was misidentified as a F-14 Iranian fighter. The aircraft did not respond to 10 radio challenges from the Vincennes. However, 7 were on military frequencies which the airliner could not pick up. Three were on the civil emergency frequency addressed to the so called military F-14. When the plane was nearing 10 miles from the ship, it was reported to the captain that the aircraft was descending. At that time the surface-to-air missiles were fired destroying the aircraft. At the inquiry computer data showed that the plane was never descending and actually was ascending at a steady rate. Incredibly, a military investigation concluded that although the U.S. government regretted the loss of human life, the captain and crew were not at fault and acted properly in shooting down the airliner.",High Fatality
278,8/31/1988,9:01,"DALLAS, TEXAS",DELTA AIR LINES,1141,"DALLAS/FORT WORTH, TX - SALT LAKE CITY, UT",BOEING B-727-232 ADV,N473DA,20750/992,108,14,0,94,0.87,"The aircraft stalled and crashed during takeoff, hitting a ILS localizer antenna, 1,000 feet beyond the end of the runway. Crew error. Improperly set flaps and slats. Failure of the takeoff safety warning system.",Low Fatality
279,9/9/1988,11:38,"BANGKOK, THAILAND",HANG KHONG (VIETNAM),831,HANOI - BANGKOK,TUPOLEV TU-134A,VN-A102,60925,90,76,0,14,0.156,The aircraft crashed during approach in heavy rain and thunderstorms short of the runway. The crew descended below minimum altitude while over the outer marker. The plane lost height due to a microburst induced windshear when passing under a thunderstorm on final.,High Fatality
280,9/15/1988,13:05,"BAHAR DAR, ETHIOPIA",ETHIOPIAN AIRLINES,604,BAHAR DAR - ASMARA,BOEING B-737-230,ET-AJA,23914/1456,104,35,0,69,0.663,"During takeoff, the aircraft ingested numerous pigeons into both engines. One engine lost thrust almost immediately and the second lost thrust during the emergency return to the airport. The aircraft crashed while trying to land. Engine failure due to ingestion of 10-16 Columba Guinea birds.",High Fatality
281,10/19/1988,7:00,"NEAR AHMEDABAD, INDIA",INDIAN AIRLINES,113,BOMBAY - AHMADABAD,BOEING B-737-2A8,VT-EAH,20481/271,129,124,0,5,0.039,"The plane hit an electrical mast, 5 miles short of runway during an approach in fog and burst into flames.",High Fatality
282,12/11/1988,Not Available,"LENINAKAN, ARMENIA, USSR",MILITARY - RUSSIAN AIR FORCE / MILITARY - RUSSIAN AIR FORCE,Not Available,NOT AVAILABLE,ILYUSHIN IL-76 / MI-8 (HELICOPTER),CCCP-86732,83413388,83,77,0,6,0.072,A midair collision occurred between a soviet transport on an earthquake relief mission and a military Mi-8 helicopter.  As the transport approached for a landing in the darkness it struck the helicocopter.  Seventy-seven of 78 aboard the transport were killed. All five aboard the Mi-8 survived.,High Fatality
283,12/21/1988,19:03,"LOCKERBIE, SCOTLAND",PAN AMERICAN WORLD AIRWAYS,103,LONDON - NEW YORK CITY,BOEING B-747-121A,N739PA,19646/15,259,259,11,0,0,"The airliner disappeared from radar shortly after leveling off at FL 310 while on a flight from Heathrow Airport, London,  to New York. The aircraft broke up with two main sections of wreckage coming down in the town of Lockerbie. Detonation of an explosive device in the forward cargo area planted by terrorists.  Musician Paul Jeffreys killed. The aircraft was named 'Clipper Maid of the Seas.'",High Fatality
284,1/8/1989,20:25,"LEICESTERSHIRE, ENGLAND",BRITISH MIDLAND AIRWAYS,92,LONDON - BELFAST,BOEING B-737-4Y0,G-OBME,23867/1603,126,47,0,79,0.627,"While en route and climbing through FL 280, a vibration was felt and the smell of smoke was detected.  A fan blade on the No. 1 engine detached and caused a compressor stall and vibration of the aircraft. The crew throttled back the No. 2 engine and the vibration stopped. Soon after it was decided to shut down the No. 2 engine. While attempting to land, power was lost in the No. 1 engine, the aircraft stalled and crashed into trees 3,000 ft. short of the runway. The crew mistakenly shut down the wrong engine, lost power in the disabled engine and was unable to maintain flight in the final approach.",High Fatality
285,2/8/1989,14:08,"SANTA MARIA, AZORES, PORTUGAL",INDEPENDENT AIR INC.,1851,BERGAMO - ORIO AL SERIO - SANTA MARIA,BOEING B-707-331B,N7231T,19572/687,144,144,0,0,0,"The airliner hit a mountain while attempting to land at Santa Maria. The crew mistakenly continued to descend through 3,000 ft. which it was clear to. Because of a overlap in communications, the tower did not notice the mistake. The aircraft continued to descend and did not comment or react to warnings from the GPSW for 7 seconds. The aircraft then hit Pico Alto mountain at an altitude of 2,000 ft.  Procedural errors by the flight crew and ATC. Descent of the aircraft below minimum sector altitude. Transmission from the tower of a QNH value higher than the actual value.",High Fatality
286,2/24/1989,2:09,"HONOLULU, HAWAII",UNITED AIR LINES,811,LOS ANGELES - HONOLULU - AUCKLAND - SIDNEY,BOEING B-747-122,N4713U,19875/89,356,9,0,347,0.975,"After leaving Honolulu, on a flight from Los Angeles to Sydney, Australia, the loss of an improperly latched foward lower lobe cargo door resulted in explosive decompression and loss of power in the No. 3 and 4 engines. Nine passengers were sucked out of the plane and lost at sea. The plane landed safely. The cargo door opening was attributed to a faulty switch or wiring in the door control system which permitted electrical actuation of the door latches towards the unlatched position after initial door closure and before takeoff.",Low Fatality
287,6/7/1989,4:27,"NEAR PARAMARIBO, SURINAM",SURINAM AIRWAYS,764,PARAMARIBO - ZANDERIJ,MCDONNELL DOUGLAS DC-8 SUPER 62,N1809E,46107/498,187,176,0,11,0.059,The aircraft hit a tree and crashed during a third landing attempt in fog. The crew descended below the published minimum altitude. Despite concerns about possible landing equipment failures the crew was determined to make a landing and not divert to another airport as they were running out of fuel. They could not get an ILS signal and ignored a Ground Proximity Warning System alarm 60 seconds prior to the crash by turning it off 10 seconds after it started its warning. About 20 members from the Dutch soccer team 'Colorful 11' from Surinam were killed.,High Fatality
288,6/17/1989,8:28,"BERLIN, GERMANY",INTERFLUG,Not Available,BERLIN - MOSCOW,ILYUSHIN IL-62MK,DDR-SEW,2850324,113,20,1,93,0.823,"The pilot aborted the takeoff at liftoff after it was discovered the rudder and elevator were jammed. When the command was given to apply reverse thrust  the flight engineer switched off the engines by mistake. The aircraft overran runway, collided with obstacles and caught fire. Jammed rudder and elevator.",Low Fatality
289,7/19/1989,16:00,"SIOUX CITY, IOWA",UNITED AIR LINES,232,"DENVER, CO - CHICAGO, IL",MCDONNELL DOUGLAS DC-10-10,N1819U,46618,298,112,0,186,0.624,"Catastrophifailure of the No. 2 (rear) engine while en route from Denver to Chicago, with total loss of all three hydraulics systems due to damage.The aircraft maneuvering with only the thrust of the engines, crashed while attempting to land at Sioux City. Failure to detect a fatigue crack in the No. 2 engine resulting in the disintegration of the fan disk and loss of all three hydraulisystems. Subject of the 1992 TV-movie 'Crash Landing: The Rescue of Flight 232.'",Low Fatality
290,7/21/1989,15:23,"MANILA, PHILIPPINES",PHILIPPINE AIR LINES,Not Available,ZAMBOANGA - MANILA,BAC ONE-ELEVEN 516FP,RP-C1193,231,98,1,8,97,0.99,"In heavy rain the aircraft bounced twice, crashed through a concreate wall, overran the runway, crossed a road and struck several cars.",Low Fatality
291,7/27/1989,7:00,"TRIPOLI, LIBYA",KOREAN AIRLINES,803,JEDDAH - TRIPOLI,MCDONNELL DOUGLAS DC-10-30,HL-7328,47887/125,199,75,4,124,0.623,The aircraft crashed short of the runway while landing in fog. Failure of the captain to land without analyzing the weather data.,Low Fatality
292,9/3/1989,19:00,"NEAR HAVANA, CUBA",CUBANA DE AVIACION,Not Available,"HAVANA - KÃ–LN, BONN",ILYUSHIN IL-62M,CU-T1281,3850453,126,126,45,0,0,The aircraft crashed into navigational towers and residential houses shortly after takeoff in heavy rain and high winds. Decision to fly after an abrupt deterioration in weather conditions.,High Fatality
293,9/19/1989,14:00,"NEAR BILMA, NIGER",UNION DES TRANSPORTES AERIENS,772,N'DJAMENA - PARIS,MCDONNELL DOUGLAS DC-10-30,N54629,46852/125,171,171,0,0,0,"While climbing through FL 350 ft., 46 minutes after takeoff, a bomb exploded in a container in location 13-R in the forward cargo hold. The aircraft disintegrated and crashed into the desert. A Congolese man, who boarded at Brazzaville and disembarked at Ndjamera was believed to have brought the bomb aboard.",High Fatality
294,10/21/1989,7:53,"NEAR TEGUCIGALPA, HONDURAS",TAN,414,MANAGUA - TEGUCIGALPA,BOEING B-727-224,N88705,19514/597,146,127,0,19,0.13,The aircraft landed short of the runway in heavy rain and high winds after returning to the airport. The crew did not follow the proper approach procedure.,High Fatality
295,11/27/1989,7:16,"BOGOTA, COLOMBIA",AVIANCA,203,BOGOTA - CALI,BOEING B-727-21,HK-1803,19035/272,107,107,3,0,0,The plane burst into flames and crashed shortly after taking off from El Dorado Airport. Detonation of an explosive device placed on the floor on the starboard side of the passenger cabin at seat 15F which ignited fuel vapors in an empty fuel tank. The bomb was placed by members of the drug cartel headed by Pablo Escobar in an attempt to kill presidental candidate Cesare Gaviria. He was not aboard the flight.,High Fatality
296,1/25/1990,21:34,"COVE NECK, NEW YORK",AVIANCA,52,MEDELLIN - NEW YORK CITY,BOEING B-707-321B,HK 2016,19276/592,158,73,0,85,0.538,"The aircraft was put in a series of extended holding patterns as it approached New York.The crew informed ATC they were running out of fuel but did not declare an emergency and were cleared to land. After a missed approach and during  a go-around, the plane ran out of fuel and crashed in a wooded area. The captain speaking very little English and communicating through the first officer, at no time declared an emergency. The first officer used the term 'we need priority' several times, rather than declaring an emergency. The ATC did not realize the peril of the aircraft. Failure of the crew to properly communicate the emergency situation to the ATC. Although blame was placed squarely on the crew there are several reasons why ATC should have  taken some responsibility for the accident. ATC was trying to land too many planes at once given the weather and number of missed approaches and aborted landing that were taking place. The plane was put in an extended holding pattern on three different occasions. The crew was not told of wind shear below 500 ft. which led to the aborted landing attempt. The plane was passed between three different controllers as it came out of its holding pattern to land. Each time the crew had to repeat their fuel situation.  The crew did say 'we are running out of fuel' numerous times only to be taken on a wide circling pattern after the first attempt at landing was aborted. Although the major blame was placed on the crew, in the end, the FAA paid 40% of compensations to the passenger's families.",High Fatality
297,2/14/1990,13:03,"NEAR BANGALORE, INDIA",INDIAN AIRLINES,605,BOMBAY - BANGALORE,AIRBUS A320-231,VT-EPN,79,146,92,0,54,0.37,"On final approach, the aircraft descended below the normal approach profile until it hit the ground 2,300 ft. short and 200 ft. to the right of the runway centerline. The co-pilot's (in this case check captain's) flight director was left in the Open Descent Idle Mode instead of the Vertical Speed Mode, the prescribed setting for an approach and landing.The aircraft could not maintain the correct flight path at idle power. Failure of the crew to realize the gravity of the situation and respond immediately towards proper action of moving the throttles, even after the radio altitude call-outs.",High Fatality
298,5/11/1990,Not Available,"MANILA, PHILIPPINES",PHILIPPINE AIR LINES,Not Available,MANILA - ILOILO,BOEING B-737-3Y0,EI-BZG,24466,119,8,0,111,0.933,There was an explosion in the center fuel tank while the aircraft was being pushed back for flight. Ignition of vapors in the empty center tank probably resulted from faulty wiring. Several causes have been presumed including chafed insulation on the wiring for the center fuel tank float level switch and damaged insulation on the wiring of the nearby wing anti-ice valve.,Low Fatality
299,8/10/1990,Not Available,"NEAR SHINDAND, AFGHANISTAN",MILITARY - AFGHAN REPUBLICAN AIR FORCE,Not Available,NOT AVAILABLE,ANTONOV AN-12,Not Available,Not Available,83,83,0,0,0,Crashed shortly after takeoff. Mechanical failure or possibly shot down.,High Fatality
300,9/14/1990,Not Available,"KOLTSOVO, RUSSIA",AEROFLOT,Not Available,VOLGOGRAD - SVERDLOVSK,YAKOVLEV YAK-42,CCCP-42351,1811379,129,4,0,125,0.969,"The aircraft undershot on approach and crashed 1,700m short of the runway.  It is reported that the crew, who was apparently fatigued, failed to correctly follow procedures. The accident happened at night.",Low Fatality
301,10/2/1990,Not Available,"NEAR KUWAIT CITY, KUWAIT",IRAQI AIRWAYS,Not Available,NOT AVAILABLE,ILYUSHIN IL-76,Not Available,Not Available,130,130,0,0,0,The aircraft was shot down by a Kuwaiti fighter shortly after takeoff with an air-to-air missile. Mostly military personnel were onboard.,High Fatality
302,10/2/1990,9:15,"GUANGZHOU, CHINA",CHINA SOUTHWEST AIRLINES / XIAMEN AIRLINES,8301/,GUANGZHOU - SHANGHI,BOEING B-737-247 / BOEING B-757-21B,B-2812/B-2510,24758 / 23189,226,128,0,98,0.434,"Shortly after taking off a hijacker entered the cockpit and demanded to be flown to Hong Kong. The captain circled for 30 minutes and after a struggle in the cockpit, attempted to land at Guangzhou, hitting the runway hard, clipping a B-707 and crashing into a B-757. Eighty-two aboard the B-737 and 46 aboard the B-757 were killed.",High Fatality
303,10/3/1990,20:08,"CAPE CANAVERAL, FLORIDA",EASTERN AIR LINES,791,NOT AVAILABLE,MCDONNELL DOUGLAS DC-9-31,N8923E,45838/104,97,1,0,96,0.99,The aircraft experienced severe turbulence after entering overhang of a thunderstorm at FL 310. Three passengers received serious injuries. One passenger died 20 days after the accident. Failure of the captain to follow procedures by allowing the aircraft to continue into the overhang anvil of a thunderstorm. Failure of the passengers to abide by instructions concerning the use of seat belts. Failure of the flight attendants to enforce the use of seat belts.,Low Fatality
304,12/3/1990,13:45,"ROMULUS, MICHIGAN",NORTHWEST AIRLINES/ NORTHWEST AIRLINES,299/1482,DETROIT - PITTSBURG,BOEING B-727-251 / MD DOUGLAS DC-9-14,N278US/N3313L,21157 / 45708/77,198,8,0,190,0.96,Ground collision in dense fog. The 727 was on its takeoff roll when the DC-9 taxied onto the active runway. Improper crew coordination aboard the DC-9.  Failure to stop and alert ATC of positional uncertainty. Eight killed aboard the DC-9. None aboard the B-727.,Low Fatality
305,3/21/1991,Not Available,"RAS-AL-MISHAB, SAUDI ARABIA",MILITARY - ROYAL SAUDI AIR FORCE,Not Available,NOT AVAILABLE,LOCKHEED C-130H,469,4754,98,98,0,0,0,Crashed while attempting to land in poor visibility caused by oil fires during the Persian Gulf War.,High Fatality
306,5/23/1991,13:06,"LENINGRAD, USSR",AEROFLOT,Not Available,SUKHUMI - LENINGRAD,TUPOLEV TU-154B-1,CCCP-85097,97,181,13,0,168,0.928,"Undershot the runway and broke in half after a hard landing. Crew error. A rapid rate of descent, leading to landing gear failure. The accident happened durining daylight in a rain shower.",Low Fatality
307,5/26/1991,23:17,"NEAR BAN NONG RONG, THAILAND",LAUDA AIR,4,"BANGKOK - WIEN, AUSTRIA",BOEING B-767-3Z9ER,OE-LAV,24628/283,223,223,0,0,0,"Twelve minutes after takeoff the crew received a visual REV ISLN advisory warning which indicated that an additional system failure may cause deployment of the No. 1 engine thrust reverser. No action was taken since the manual indicated 'No Action Required'. Just before reaching FL 310 during a climb, there was an uncommanded deployment of the No. 1 engine thrust reverser. The aircraft stalled, when into a steep high speed dive, broke apart at 4,000 feet and crashed into the jungle 70 miles northwest of Bangkok. Failure of the reverse thrust isolation valve. Following the accident Boeing made modifications to the thrust reverser system. The aircraft was named Wolfgang Amadeus Mozar",High Fatality
